debate_audio_id,turn_id,speaker_raw,word,start_sec,end_sec
1003,1003_t0003,DUKAKIS,my,177.85,177.99
1003,1003_t0003,DUKAKIS,own,177.99,178.15
1003,1003_t0003,DUKAKIS,state,178.15,178.52
1003,1003_t0003,DUKAKIS,and,178.52,178.67
1003,1003_t0003,DUKAKIS,we've,179.0,179.16
1003,1003_t0003,DUKAKIS,reached,179.16,179.4
1003,1003_t0003,DUKAKIS,out,179.4,179.59
1003,1003_t0003,DUKAKIS,to,179.59,179.66
1003,1003_t0003,DUKAKIS,young,179.66,179.89
1003,1003_t0003,DUKAKIS,people,179.89,180.17
1003,1003_t0003,DUKAKIS,and,180.17,180.26
1003,1003_t0003,DUKAKIS,their,180.26,180.35
1003,1003_t0003,DUKAKIS,families,180.35,180.94
1003,1003_t0003,DUKAKIS,and,180.94,181.12
1003,1003_t0003,DUKAKIS,been,181.95,182.05
1003,1003_t0003,DUKAKIS,able,182.05,182.23
1003,1003_t0003,DUKAKIS,to,182.23,182.29
1003,1003_t0003,DUKAKIS,help,182.29,182.62
1003,1003_t0003,DUKAKIS,them,182.62,182.83
1003,1003_t0003,DUKAKIS,by,182.83,182.94
1003,1003_t0003,DUKAKIS,beginning,182.94,183.34
1003,1003_t0003,DUKAKIS,drug,183.34,183.57
1003,1003_t0003,DUKAKIS,education,183.57,184.07
1003,1003_t0003,DUKAKIS,and,184.07,184.14
1003,1003_t0003,DUKAKIS,prevention,184.14,184.63
1003,1003_t0003,DUKAKIS,in,184.63,184.69
1003,1003_t0003,DUKAKIS,the,184.69,184.78
1003,1003_t0003,DUKAKIS,early,184.78,184.98
1003,1003_t0003,DUKAKIS,elementary,184.98,185.37
1003,1003_t0003,DUKAKIS,grades,185.37,185.79
1003,1003_t0003,DUKAKIS,so,186.98,187.2
1003,1003_t0003,DUKAKIS,we,187.2,187.34
1003,1003_t0003,DUKAKIS,can,187.34,187.48
1003,1003_t0003,DUKAKIS,fight,187.48,187.8
1003,1003_t0003,DUKAKIS,this,187.8,187.99
1003,1003_t0003,DUKAKIS,war,187.99,188.3
1003,1003_t0003,DUKAKIS,and,188.3,188.39
1003,1003_t0003,DUKAKIS,we,188.39,188.48
1003,1003_t0003,DUKAKIS,can,188.48,188.64
1003,1003_t0003,DUKAKIS,win,188.64,188.79
1003,1003_t0003,DUKAKIS,this,188.79,188.98
1003,1003_t0003,DUKAKIS,war,188.98,189.16
1003,1003_t0003,DUKAKIS,and,190.23,190.33
1003,1003_t0003,DUKAKIS,we,190.33,190.42
1003,1003_t0003,DUKAKIS,can,190.42,190.55
1003,1003_t0003,DUKAKIS,do,190.55,190.69
1003,1003_t0003,DUKAKIS,so,190.69,190.94
1003,1003_t0003,DUKAKIS,in,190.94,191.0
1003,1003_t0003,DUKAKIS,a,191.0,191.03
1003,1003_t0003,DUKAKIS,way,191.03,191.3
1003,1003_t0003,DUKAKIS,that,191.3,191.46
1003,1003_t0003,DUKAKIS,marshals,191.46,191.94
1003,1003_t0003,DUKAKIS,our,191.94,192.05
1003,1003_t0003,DUKAKIS,forces,192.05,192.56
1003,1003_t0003,DUKAKIS,that,193.21,193.32
1003,1003_t0003,DUKAKIS,provides,193.32,193.77
1003,1003_t0003,DUKAKIS,real,193.77,194.05
1003,1003_t0003,DUKAKIS,support,194.05,194.64
1003,1003_t0003,DUKAKIS,for,194.64,194.98
1003,1003_t0003,DUKAKIS,state,194.98,195.31
1003,1003_t0003,DUKAKIS,and,195.31,195.46
1003,1003_t0003,DUKAKIS,local,195.46,195.68
1003,1003_t0003,DUKAKIS,law,195.68,195.85
1003,1003_t0003,DUKAKIS,enforcement,195.85,196.27
1003,1003_t0003,DUKAKIS,officers,196.27,196.78
1003,1003_t0003,DUKAKIS,who,196.78,196.92
1003,1003_t0003,DUKAKIS,have,197.32,197.43
1003,1003_t0003,DUKAKIS,not,197.43,197.65
1003,1003_t0003,DUKAKIS,been,197.65,197.79
